gene,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000010327,STAB1,2081.89138958983,-0.0600341098012925,0.249312656181689,-0.240798484604576,0.809711304179645,0.947780073708562
ENSG00000023191,RNH1,10094.0451322942,-0.149058029310984,0.136756464825977,-1.0899523433913,0.275734137418524,0.685898472833996
ENSG00000092969,TGFB2,621.328080363588,0.0937608908075571,0.42063553131286,0.222902926233827,0.823611058879115,0.95161928897539
ENSG00000100345,MYH9,61302.4510908355,0.134653535666412,0.138392148641137,0.972985367945842,0.330560574349817,0.72417245541039
ENSG00000106392,C1GALT1,1876.57922264734,0.263246690428337,0.182029079582659,1.44617931943559,0.148126912644375,0.551590264566149
ENSG00000109854,HTATIP2,3087.95518252918,-0.298922455908447,0.168150217266429,-1.7777107919808,0.0754513663015924,0.437219313557454
ENSG00000112715,VEGFA,11556.6512695469,0.492472373207209,0.245405786598131,2.00676756662493,0.044774417822522,0.357915648142972
ENSG00000115053,NCL,34619.4774208711,0.12157102426144,0.131310789493547,0.925826618896495,0.354536091318033,0.741412503138946
ENSG00000126016,AMOT,1370.05231761868,-0.0333187254301963,0.486962059258535,-0.0684216045104797,0.945450024216371,0.98589777073656
ENSG00000127022,CANX,28400.7297162953,0.0512982708229424,0.118447750203016,0.433087760088467,0.664951014547669,0.896573025825623
ENSG00000129991,TNNI3,109.960583655068,-0.143326120679948,0.563928243668873,-0.2541566631731,0.799374529260788,0.945045443939384
ENSG00000130770,ATP5IF1,6212.73427994433,-0.297028395914715,0.149897477506486,-1.98154365807698,0.0475303384381527,0.364985598595229
ENSG00000132386,SERPINF1,3394.11135870931,-0.0855958413769103,0.311713833549138,-0.274597506316373,0.783625482387095,0.938858774091927
ENSG00000133639,BTG1,9638.14168972939,-0.250841393389774,0.183629199282457,-1.36602127749809,0.171932285071741,0.57822868365345
ENSG00000133710,SPINK5,4571.2982594772,0.910873172903697,0.548518340766215,1.66060659271906,0.0967924840414985,0.479472871117844
ENSG00000134871,COL4A2,14354.4591475393,0.35918602295888,0.288554953747053,1.24477510538163,0.213214429436041,0.625838460623399
ENSG00000138798,EGF,98.4005202071112,1.11173624303202,0.620078959611244,1.79289463994878,0.0729897725810365,0.433133198464019
ENSG00000139567,ACVRL1,640.801582127754,0.328779423945002,0.2274171304368,1.44571089835456,0.148258306279447,0.551590264566149
ENSG00000140464,PML,8436.98050800497,-0.400997760063436,0.208627909572527,-1.92207150464706,0.054596761029244,0.385820461281671
ENSG00000140945,CDH13,519.409136664161,0.355168513533144,0.440336117708931,0.806585013696097,0.419905610700294,0.779034741804241
ENSG00000143878,RHOB,9309.34247250977,-0.262228645235777,0.276515351231719,-0.948333045770144,0.342959932881012,0.733662776770379
ENSG00000150782,IL18,1854.13749729208,-0.540827083300571,0.331113466252405,-1.63335876798288,0.102393563498642,0.489068603758988
ENSG00000154096,THY1,2040.36242595315,0.739657341814938,0.334620278136656,2.21043789077501,0.0270747865519658,0.29845361487707
ENSG00000154133,ROBO4,347.309284108715,0.355551823475775,0.246001859219526,1.44532169229864,0.148367547545296,0.551590264566149
ENSG00000159216,RUNX1,5046.36520247832,0.251429470089924,0.180638782415289,1.39189085936091,0.163955450214524,0.568808975895591
ENSG00000164035,EMCN,245.9031596049,1.10916419888374,0.334296279727927,3.31790769489405,0.0009069445064042,0.0627063827785336
ENSG00000164252,AGGF1,926.452209773927,0.0296791817930875,0.0920482207953882,0.32243080351396,0.747126351389139,0.925903660070343
ENSG00000164307,ERAP1,3274.96578629248,0.20709187626504,0.164003355695614,1.26272950566571,0.206686406488609,0.619370682405806
ENSG00000164690,SHH,332.45177970912,-0.286639441994177,0.72431876603368,-0.395736594764477,0.692299356028665,0.907302794513909
ENSG00000167772,ANGPTL4,2304.44553928288,0.0667233910988107,0.399085509175216,0.167190713681153,0.867219990987416,0.964373247997882
ENSG00000169031,COL4A3,92.4019595701008,-0.803689236019249,0.526934560753347,-1.52521640423477,0.127205130307107,0.525566597789474
ENSG00000169418,NPR1,424.044719363934,0.88355296678916,0.381955987486644,2.31323240303978,0.0207098649291494,0.261315271858684
ENSG00000169429,CXCL8,3325.99933313232,0.416824914747874,0.449624967111456,0.927050197914275,0.353900471864716,0.740899201902465
ENSG00000171951,SCG2,29.4220710015303,-0.434047426498213,0.375908852949513,-1.15466135764701,0.248229129645636,0.660167390862209
ENSG00000175344,CHRNA7,26.173121407918,-1.25878520595529,0.421775069348697,-2.98449409989808,0.0028404767940399,0.112862538333554
ENSG00000176170,SPHK1,2577.7913517625,-0.359011887719837,0.252597861573508,-1.4212784125861,0.155235836737716,0.559893273486844
ENSG00000182585,EPGN,294.773537095655,-0.767419463125495,0.594069211060084,-1.29180144137764,0.196425916082992,0.606641746678273
ENSG00000184481,FOXO4,1091.92220699725,0.0378762304802825,0.184941182138139,0.204801494412377,0.837727219389874,0.955315623371297
ENSG00000196712,NF1,3559.72577833329,0.244121523414735,0.167145268217155,1.46053505443883,0.144143080701701,0.547587481796745
ENSG00000204301,NOTCH4,501.473281710527,0.239533866496338,0.241878820282746,0.99030525374786,0.322024939425131,0.719586853094953
ENSG00000214274,ANG,241.088043233754,-0.482060778858898,0.327525280479385,-1.47182769572268,0.141067412608943,0.544279192970587
ENSG00000239697,TNFSF12,485.244283676481,-0.0004767891205815,0.233991038580053,-0.0020376383791227,0.998374200921844,0.999209115673871
