gene,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000001631,KRIT1,334.481177352019,0.03507767013554,0.0953639953725356,0.367829283981974,0.713000532027215,0.913115417158191
ENSG00000003402,CFLAR,4822.76155016938,-0.187250395292075,0.163290365160962,-1.14673266305391,0.251492126642704,0.661966591828138
ENSG00000004399,PLXND1,3994.21775117222,0.280614761133042,0.180690486313181,1.55301348100125,0.120419913986164,0.515686586276066
ENSG00000004776,HSPB6,148.520092388634,2.07912195614215,0.446482534295754,4.65667029824938,3.21364466852928e-06,0.0024674363764967
ENSG00000005108,THSD7A,71.6944205183779,1.28615200976055,0.344275412595013,3.73582301467897,0.000187102233906,0.0295345526709576
ENSG00000005961,ITGA2B,316.624468586458,-0.300316190726527,0.378988659393151,-0.792414715541629,0.428118901789742,0.783751418868975
ENSG00000006125,AP2B1,8451.87934185844,0.148474008548172,0.228690092715984,0.649236732491798,0.516185372502067,0.827637702438095
ENSG00000006210,CX3CL1,4429.27484392114,-0.142191457629882,0.389538133172557,-0.365025771602429,0.715092168685471,0.91370971249632
ENSG00000006327,TNFRSF12A,5311.4602286106,-0.0369848561024775,0.250975443426116,-0.147364441706287,0.882844370468196,0.969295283094975
ENSG00000006638,TBXA2R,87.836844507215,0.0736968269767171,0.270603175448567,0.27234280179659,0.785358448436357,0.939322714712103
ENSG00000006831,ADIPOR2,5498.16531538107,-0.0711404990092605,0.134706745293413,-0.528113858398889,0.597420312692457,0.86522553255733
ENSG00000007372,PAX6,203.429136489657,0.209560883176091,0.553757435443021,0.378434436746545,0.705107890178751,0.910049875735099
ENSG00000007952,NOX1,95.7943966598838,-0.526456387045527,0.222464274732399,-2.36647609005445,0.0179583342051292,0.245530103742243
ENSG00000007968,E2F2,1869.3780051085,-0.0513806094273802,0.247558103782348,-0.207549696989737,0.835580584931099,0.954274539803805
ENSG00000008710,PKD1,2208.74521729844,0.318159715712287,0.22267343735215,1.42881755226659,0.153056679340289,0.557325562810986
ENSG00000010327,STAB1,2081.89138958983,-0.0600341098012925,0.249312656181689,-0.240798484604576,0.809711304179645,0.947780073708562
ENSG00000011405,PIK3C2A,1984.09163156759,0.166659357312115,0.148850302794706,1.11964405972336,0.26286547210218,0.672088276656855
ENSG00000011465,DCN,8853.57172070478,0.917010182467062,0.408661408797669,2.24393633146085,0.0248364981291299,0.285270569086762
ENSG00000012048,BRCA1,1976.60868872147,0.154401405020089,0.145402956271088,1.06188628470679,0.288287312200564,0.697091885648286
ENSG00000012779,ALOX5,1191.26516572818,-0.167580437263945,0.314869765016951,-0.532221432105185,0.594572640770418,0.864323129154488
ENSG00000016082,ISL1,109.610098142427,-0.565437101952365,0.570416548000011,-0.99127050913038,0.321553509228843,0.719345233474048
ENSG00000020181,ADGRA2,610.522682097476,1.01716167361343,0.323174102227923,3.14741084326139,0.0016472333218192,0.0840362620925446
